Name,Height (m),Crown Width (m),Canopy Cover (m2),Crown Height (m),Gross Carbon Sequestration (kg/yr)
Celtis australis,14.0,12.0,113.1,4.2,2.0
Carpinus betulus,5.0,3.0,7.1,1.5,1.7
Tilia cordata,5.0,4.0,12.6,1.5,1.1
Carpinus betulus,4.0,3.0,7.1,1.2,1.7
Platanus x hispanica,9.0,9.0,63.6,2.7,11.8
Celtis australis,6.0,3.0,7.1,1.8,1.1
Celtis australis,6.0,6.0,28.3,1.8,1.2
Carpinus betulus,3.0,1.0,0.8,0.9,1.3
Celtis australis,6.0,2.0,3.1,1.8,1.3
Tilia x europaea,11.0,6.0,28.3,3.3,16.3
Tilia x europaea,5.0,1.5,1.8,1.5,2.6
Platanus x hispanica,3.0,9.6,72.5,0.9,0.9
Celtis australis,17.0,7.0,38.5,5.1,2.1
Tilia cordata,4.0,2.5,4.9,1.2,1.1
Aesculus hippocastanum,6.0,4.0,12.6,1.8,3.4
Carpinus betulus,4.0,2.0,3.1,1.2,3.5
Platanus x hispanica,7.0,7.0,38.5,2.1,4.7
Carpinus betulus,12.0,6.0,28.3,3.6,4.4
Platanus x hispanica,3.0,2.0,3.1,0.9,1.5
Platanus x hispanica,25.0,14.0,153.9,7.5,36.5
Tilia cordata,5.0,3.0,7.1,1.5,1.3
Carpinus betulus,4.0,2.0,3.1,1.2,3.5
Celtis australis,4.0,3.0,7.1,1.2,0.9
Tilia x europaea,12.0,11.0,95.0,3.6,14.9
Carpinus betulus,8.0,4.0,12.6,2.4,3.9
Platanus x hispanica,5.0,3.0,7.1,1.5,2.0
Celtis australis,12.0,10.0,78.5,3.6,1.4
Aesculus hippocastanum,3.5,2.5,4.9,1.0,1.6
Tilia x europaea,12.0,8.0,50.3,3.6,29.7
Aesculus hippocastanum,9.0,4.0,12.6,2.7,16.7
Aesculus hippocastanum,6.0,5.0,19.6,1.8,6.2
Aesculus hippocastanum,12.0,8.0,50.3,3.6,11.2
Platanus x hispanica,23.0,14.0,153.9,6.9,36.5
Platanus x hispanica,20.0,12.0,113.1,6.0,31.0
Celtis australis,15.0,8.0,50.3,4.5,1.8
Celtis australis,5.0,6.0,28.3,1.5,1.3
Tilia x europaea,15.0,8.0,50.3,4.5,29.7
Celtis australis,4.0,4.0,12.6,1.2,0.7
Celtis australis,7.0,8.0,50.3,2.1,1.1
Tilia cordata,7.0,7.0,38.5,2.1,3.0
Carpinus betulus,7.0,5.0,19.6,2.1,3.9
Tilia cordata,4.0,2.5,4.9,1.2,1.1
Carpinus betulus,10.0,10.0,78.5,3.0,5.3
Platanus x hispanica,3.0,9.6,72.5,0.9,0.9
Celtis australis,5.0,4.0,12.6,1.5,1.0
Tilia x europaea,5.0,4.0,12.6,1.5,6.3
Carpinus betulus,7.0,6.0,28.3,2.1,4.1
Celtis australis,4.0,4.0,12.6,1.2,0.8
Tilia x europaea,4.0,1.0,0.8,1.2,1.3
Tilia cordata,9.0,6.0,28.3,2.7,8.2
Tilia cordata,13.0,12.0,113.1,3.9,9.2
Platanus x hispanica,6.0,2.0,3.1,1.8,1.1
Tilia x europaea,5.0,2.5,4.9,1.5,2.3
Celtis australis,8.3,6.7,35.2,2.5,1.3
Celtis australis,6.0,6.0,28.3,1.8,1.1
Celtis australis,5.0,2.5,4.9,1.5,0.6
Tilia x europaea,5.0,2.5,4.9,1.5,2.0
Tilia x europaea,12.0,11.0,95.0,3.6,16.0
Platanus x hispanica,5.0,3.0,7.1,1.5,2.2
Tilia x europaea,3.0,1.5,1.8,0.9,2.0
Tilia cordata,5.0,2.5,4.9,1.5,1.3
Celtis australis,8.0,6.0,28.3,2.4,0.9
Aesculus hippocastanum,9.0,8.0,50.3,2.7,9.6
Tilia x europaea,12.0,9.0,63.6,3.6,36.6
Celtis australis,14.0,12.0,113.1,4.2,2.0
Carpinus betulus,9.0,6.0,28.3,2.7,3.9
Platanus x hispanica,6.0,6.0,28.3,1.8,3.0
Celtis australis,8.3,6.7,35.2,2.5,1.3
Tilia cordata,13.0,9.0,63.6,3.9,7.7
Celtis australis,4.0,5.0,19.6,1.2,0.8
Tilia cordata,4.0,2.5,4.9,1.2,1.0
Celtis australis,8.3,6.7,35.2,2.5,1.3
Tilia x europaea,8.0,10.0,78.5,2.4,11.6
Celtis australis,8.0,8.0,50.3,2.4,1.0
Tilia cordata,6.0,6.0,28.3,1.8,2.4
Celtis australis,8.3,6.7,35.2,2.5,1.3
Celtis australis,7.0,9.0,63.6,2.1,1.8
Aesculus hippocastanum,12.0,3.5,9.6,3.6,4.2
Tilia cordata,10.0,8.0,50.3,3.0,4.9
Carpinus betulus,4.0,1.5,1.8,1.2,1.1
Celtis australis,8.0,6.0,28.3,2.4,1.0
Celtis australis,5.0,6.0,28.3,1.5,1.3
Platanus x hispanica,6.0,3.0,7.1,1.8,2.4
Celtis australis,4.5,4.0,12.6,1.3,0.8
Celtis australis,12.0,12.0,113.1,3.6,1.9
Celtis australis,8.3,6.7,35.2,2.5,1.3
Tilia cordata,14.0,8.0,50.3,4.2,8.7
Platanus x hispanica,9.0,9.0,63.6,2.7,11.8
Celtis australis,15.0,9.0,63.6,4.5,2.0
Celtis australis,5.0,3.0,7.1,1.5,0.8
Carpinus betulus,6.2,3.6,10.1,1.9,3.2
Celtis australis,6.0,5.0,19.6,1.8,0.8
Tilia cordata,5.0,4.0,12.6,1.5,2.3
Aesculus hippocastanum,3.0,1.0,0.8,0.9,0.5
Platanus x hispanica,22.0,15.0,176.7,6.6,30.1
Aesculus hippocastanum,10.0,4.0,12.6,3.0,17.6
Celtis australis,8.0,3.0,7.1,2.4,1.2
Carpinus betulus,10.0,3.0,7.1,3.0,1.7
Platanus x hispanica,3.0,9.6,72.5,0.9,0.9
Celtis australis,6.0,5.0,19.6,1.8,0.7
Celtis australis,8.0,12.0,113.1,2.4,1.9
Tilia x europaea,10.0,9.0,63.6,3.0,19.5
Celtis australis,12.0,10.0,78.5,3.6,1.7
Celtis australis,14.0,8.0,50.3,4.2,1.3
Platanus x hispanica,6.0,4.0,12.6,1.8,2.2
Carpinus betulus,6.0,5.0,19.6,1.8,6.1
Tilia x europaea,10.0,6.0,28.3,3.0,12.1
Aesculus hippocastanum,7.0,3.0,7.1,2.1,5.6
Aesculus hippocastanum,8.0,6.0,28.3,2.4,7.9
Celtis australis,7.0,11.0,95.0,2.1,1.3
Celtis australis,5.0,5.0,19.6,1.5,0.8
Tilia x europaea,6.0,4.0,12.6,1.8,4.0
Tilia cordata,7.0,6.0,28.3,2.1,2.4
Tilia cordata,5.0,6.0,28.3,1.5,3.0
Platanus x hispanica,22.0,14.0,153.9,6.6,31.0
Platanus x hispanica,11.0,10.0,78.5,3.3,13.1
Tilia cordata,4.0,2.5,4.9,1.2,1.1
Carpinus betulus,4.0,1.5,1.8,1.2,1.1
Aesculus hippocastanum,9.0,8.0,50.3,2.7,9.6
Tilia cordata,8.0,7.0,38.5,2.4,2.4
Tilia cordata,2.5,1.5,1.8,0.8,0.8
Celtis australis,5.0,6.0,28.3,1.5,1.9
Celtis australis,9.0,7.0,38.5,2.7,1.4
Tilia x europaea,15.0,8.0,50.3,4.5,29.7
Tilia cordata,10.0,6.0,28.3,3.0,2.4
Carpinus betulus,6.2,3.6,10.1,1.9,3.2
Aesculus hippocastanum,4.0,3.0,7.1,1.2,2.4
Celtis australis,4.0,4.0,12.6,1.2,0.8
Platanus x hispanica,6.5,5.0,19.6,1.9,2.7
Tilia x europaea,8.0,8.0,50.3,2.4,8.6
