Name,Height (m),Crown Width (m),Canopy Cover (m2),Crown Height (m),Gross Carbon Sequestration (kg/yr)
Carpinus betulus,3.0,2.0,3.1,0.9,1.9
Aesculus hippocastanum,5.5,5.0,19.6,1.7,1.9
Aesculus hippocastanum,11.0,8.0,50.3,3.3,9.7
Aesculus hippocastanum,6.0,6.0,28.3,1.8,4.7
Aesculus hippocastanum,8.0,11.0,95.0,2.4,15.3
Aesculus hippocastanum,11.0,12.0,113.1,3.3,17.7
Aesculus hippocastanum,10.0,10.0,78.5,3.0,9.7
Celtis australis,9.0,8.0,50.3,2.7,1.3
Aesculus hippocastanum,17.0,12.0,113.1,5.1,17.4
Aesculus hippocastanum,6.0,6.0,28.3,1.8,6.2
Tilia cordata,4.0,1.5,1.8,1.2,0.8
Tilia x europaea,18.5,6.0,28.3,5.6,37.0
Celtis australis,5.0,4.0,12.6,1.5,0.7
Platanus x hispanica,4.0,1.0,0.8,1.2,0.9
Carpinus betulus,10.0,6.5,33.2,3.0,5.3
Celtis australis,6.0,4.0,12.6,1.8,0.9
Tilia x europaea,5.0,2.5,4.9,1.5,1.6
Tilia cordata,4.0,1.5,1.8,1.2,0.7
Aesculus hippocastanum,4.0,2.0,3.1,1.2,1.4
Aesculus hippocastanum,5.0,5.0,19.6,1.5,13.1
Tilia cordata,8.0,8.0,50.3,2.4,6.0
Tilia cordata,9.0,5.0,19.6,2.7,6.0
Platanus x hispanica,25.0,24.0,452.4,7.5,0.3
Tilia x europaea,10.0,7.0,38.5,3.0,6.7
Celtis australis,9.0,7.0,38.5,2.7,1.6
Tilia x europaea,6.0,2.0,3.1,1.8,7.2
Platanus x hispanica,9.0,9.0,63.6,2.7,11.8
Tilia cordata,5.0,4.0,12.6,1.5,4.4
Tilia cordata,13.0,9.0,63.6,3.9,10.8
Tilia x europaea,4.0,2.0,3.1,1.2,1.1
Tilia cordata,12.0,10.0,78.5,3.6,6.0
Tilia x europaea,15.0,3.0,7.1,4.5,9.1
Aesculus hippocastanum,12.0,6.0,28.3,3.6,20.0
Platanus x hispanica,15.0,12.0,113.1,4.5,9.3
Celtis australis,14.0,9.0,63.6,4.2,0.1
Carpinus betulus,12.0,7.0,38.5,3.6,6.1
Aesculus hippocastanum,12.0,10.0,78.5,3.6,22.3
Carpinus betulus,6.0,4.0,12.6,1.8,3.0
Aesculus hippocastanum,3.5,2.0,3.1,1.0,1.4
Platanus x hispanica,12.0,9.0,63.6,3.6,9.3
Platanus x hispanica,8.0,8.0,50.3,2.4,3.5
Tilia x europaea,10.0,10.0,78.5,3.0,18.3
Celtis australis,4.0,1.5,1.8,1.2,0.5
Tilia cordata,6.4,4.4,14.9,1.9,2.6
Celtis australis,6.0,5.0,19.6,1.8,1.1
Carpinus betulus,11.0,6.0,28.3,3.3,6.7
Tilia x europaea,20.0,10.0,78.5,6.0,39.3
Aesculus hippocastanum,11.0,10.0,78.5,3.3,11.2
Aesculus hippocastanum,4.0,2.0,3.1,1.2,1.6
Carpinus betulus,8.0,7.0,38.5,2.4,3.9
Carpinus betulus,7.0,3.0,7.1,2.1,2.7
Tilia cordata,4.5,5.0,19.6,1.3,1.4
Tilia cordata,5.5,5.0,19.6,1.7,1.7
